X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
2.399421;48.8745521997234;node/6793596973;;;;;;;;;;75056;Paris
2.301766;48.8525433997289;node/6795362857;;;;;;;;;;75056;Paris
2.3057616;48.8628471997263;node/6795578250;;;;;;;;;;75056;Paris
2.309434;48.8629311997263;node/6795604373;;;;;;;;;;75056;Paris
2.3164101;48.8630589997263;node/6795619399;;;;;;;;;;75056;Paris
2.3245705;48.8611720997267;node/6795666841;;;;;;;;;;75056;Paris
2.2286192;48.8579562997275;node/6796887222;;;;;;;;;;75056;Paris
2.2372706;48.8648769997258;node/6796889046;;;;;;;;;;75056;Paris
2.2307354;48.8828379997214;node/6824540648;;;;;;;;;;92062;Puteaux
2.2307019;48.8823458997215;node/6824540649;;;;;;;;;;92062;Puteaux
2.2300715;48.8829017997214;node/6824545983;;;;;;;;;;92062;Puteaux
2.2412639;48.900327199717;node/6838036197;;;;;;;;;;92026;Courbevoie
2.2326245;48.8984539997175;node/6838149541;;;;;;;;;;92026;Courbevoie
2.3363107;48.8352267997332;node/6842746623;;;;;;;;;;75056;Paris
2.394598;48.8633576997262;node/6855291285;;;;;;;;;;75056;Paris
2.3440467;48.8669490997253;node/6874104034;;;;;;;;;;75056;Paris
2.3671177;48.8422159997314;node/6876205952;;;;;;;;;;75056;Paris
2.3253437;48.8650447997258;node/6886954085;;;;;;;;;;75056;Paris
2.3189697;48.8668646997253;node/6886954086;;;;;;;;;;75056;Paris
2.3531234;48.8444815997309;node/6895139485;;;;;;;;;;75056;Paris
2.3503554;48.8433917997311;node/6896338485;;;;;;;;;;75056;Paris
2.3516182;48.8648335997258;node/691721649;;JCDecaux;;;;;;no;;75056;Paris
2.3484474;48.868158099725;node/692331073;;JCDecaux;;;;;;no;;75056;Paris
2.4686441;48.904464499716;node/6935986485;;Municipalité;;;;;;no;;93053;Noisy-le-Sec
2.4705213;48.9049623997159;node/6940365091;;;;;;;;no;;93010;Bondy
2.2548881;48.8369508997327;node/6963875972;;;;no;;;;;;75056;Paris
2.3120163;48.892374299719;node/6975917055;;;;;;;;;;75056;Paris
2.3497458;48.8914298997192;node/698282756;;JCDecaux;;;;;;no;;75056;Paris
2.3527043;48.827690999735;node/698460645;Puits artésien de la Butte-aux-Cailles;;;;;;;;;75056;Paris
2.175822;48.8797007997222;node/698854080;;;;;;;;;;92063;Rueil-Malmaison
2.2110588;48.8148191997382;node/7006509368;;;;;;;;;;92072;Sèvres
2.3697654;48.8311605997342;node/7007440903;;;;;;;;;;75056;Paris
2.3513334;48.8268977997352;node/701733261;;JCDecaux;;;;;;no;;75056;Paris
2.3694787;48.8329594997337;node/7028008460;;;;;;;;;;75056;Paris
2.3958931;48.8706838997244;node/7051438106;;;;;;;;;;75056;Paris
2.3520053;48.827940099735;node/7058403769;Petite  Fontaine Wallace;;;;;;;;;75056;Paris
2.3706193;48.8314966997341;node/7058495596;;;;;;;;;;75056;Paris
2.3659296;48.8860661997206;node/7058495609;;Eau de Paris;;no;;;;no;Sparkling water;75056;Paris
2.4153384;48.8932293997188;node/7088963251;;;;;;;;no;;93055;Pantin
2.2651245;48.7998801997419;node/7118327564;;;;;;;;;;92023;Clamart
2.3189331;48.836047499733;node/7160288051;Fontaine Wallace;;;;;;;;;75056;Paris
2.3455448;48.8624832997264;node/7160605856;;;;;;;;;;75056;Paris
2.3453745;48.8621323997265;node/7160605857;;;;;;;;;;75056;Paris
2.3485424;48.868112699725;node/7160893731;;;;;;;;;;75056;Paris
2.2602123;48.8551071997282;node/7179479680;;;;;;;;;;75056;Paris
2.2690346;48.844160299731;node/7179480787;;;;;;;;;;75056;Paris
2.3703092;48.8535339997286;node/7201304185;;;;;;;;;;75056;Paris
2.2262027;48.8931489997188;node/7214161854;;;;;;;;;;92050;Nanterre
2.3317877;48.8839747997211;node/721552343;;JCDecaux;;;;;;no;;75056;Paris
2.3605939;48.8443347997309;node/721602786;;JCDecaux;;;;;;no;;75056;Paris
2.3604924;48.8552422997282;node/721602809;;JCDecaux;;;;;;no;;75056;Paris
2.3247721;48.8863807997205;node/7220956711;;;;;;;;;;75056;Paris
2.3443682;48.8502189997295;node/7227338803;;;;;;;;;;75056;Paris
2.3814908;48.8649519997258;node/7245942715;;;;;;;;;;75056;Paris
2.262388;48.868392399725;node/7247569871;;;;;;;;;;75056;Paris
